user,workout_name,trainer,liked
hi,Beginner Meditation Journey,Emma,No
hi,Power Yoga Workout,Sarah Hill,No
hi,Full Relaxation Yoga,Susan,No
hi,Abdominal Workout with Weights,Max Power,No
hi,Boxing Workout,Kevin Lee,No
hi,Kickboxing Workout,Lisa Chen,Yes
hi,Circuit Training Workout,Ryan Edwards,Yes
mango,Kickboxing Workout,Amy Lee,No
mango,Boxing Workout,Kevin Lee,No
mango,Moderate Cardio,Robert Lee,No
mango,Power Yoga Workout,Katie Moore,No
mango,Surya Namaskar,Michael Young,Yes
mango,Beginner Meditation Journey,Emma,Yes
