workout_name,trainer,gender,age_group,workout_frequency,emotion,energy_level,focus_level,motivation_level,difficulty_level,category,workout_url
HIIT Workout,Sarah,Male,20-30,Beginner,motivated,4,3,4,4,cardio,https://www.youtube.com/watch?v=cbKkB3POqaY
Yoga for Flexibility,Jill,Female,30-40,Intermediate,calm,2,2,3,2,yoga,https://www.youtube.com/watch?v=sMIatEvTACI&t=1s
Abdominal Workout with Weights,Max Power,Male,40-50,Advanced,energetic,5,4,5,4,weight-training,https://www.youtube.com/watch?v=2haf-ZqA808
Full Body Strength Training,Jane Blue,Female,20-30,Beginner,motivated,4,3,4,4,strength,https://www.youtube.com/watch?v=ohgLmY19jNg
Pilates for Core,Emma,Female,30-40,Intermediate,calm,3,3,3,2,pilates,https://www.youtube.com/watch?v=Z6DsKKsh3os
Cardio Kickboxing,Kimberly,Female,20-30,Beginner,energetic,5,4,4,4,cardio,https://www.youtube.com/watch?v=AvWVYgzH_f4
Legs & Glutes Bootcamp,Chris,Male,40-50,Advanced,energetic,5,4,4,4,strength,https://www.youtube.com/watch?v=cbCt69XAUKA
Upper Body Workout,Jack,Male,30-40,Intermediate,motivated,4,3,4,4,strength,https://www.youtube.com/watch?v=ihba9Lw0tv4
HIIT Full Body,John,Male,20-30,Beginner,energetic,5,4,4,4,cardio,https://www.youtube.com/watch?v=EvF_Jnf9jwg
Yoga for Stress Relief,Olivia,Female,50-60,Beginner,calm,2,2,3,2,yoga,https://www.youtube.com/watch?v=SvPKFsCiMsw
Chest & Triceps Workout,Robert,Male,30-40,Intermediate,motivated,4,4,4,4,strength,https://www.youtube.com/watch?v=RcLz_atcq8w
Advanced Cardio Circuit,Claire,Female,20-30,Advanced,energetic,5,4,4,4,cardio,https://www.youtube.com/watch?v=bbVJUxQSJME
Lower Body Burnout,Luke,Male,40-50,Intermediate,energetic,4,4,4,4,strength,https://www.youtube.com/watch?v=Q3xW5if80v0
